px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.40624	-5.30697	-2.91968	2.0963	0.352219	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.900176
7.47425	-5.45088	-2.91961	2.10168	0.33167	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.110551
7.55217	-5.58718	-2.90714	2.11221	0.313022	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.311563
7.64334	-5.70611	-2.89122	2.1447	0.336302	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.218191
7.71323	-5.83446	-2.85735	2.14297	0.294088	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.20574
7.77938	-5.96845	-2.8487	2.14169	0.268972	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.309222
7.89266	-6.09296	-2.92994	2.20443	0.376822	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	7.7874
7.96962	-6.2218	-2.93717	2.20804	0.354112	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.100902
8.05848	-6.34928	-2.91219	2.21526	0.326314	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.16266
8.15895	-6.46886	-2.90644	2.24029	0.33699	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.0351053
8.24184	-6.58895	-2.87011	2.24202	0.30393	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.36157
8.30887	-6.73209	-2.86976	2.22108	0.248796	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.531176
8.397	-6.85513	-2.85766	2.22803	0.236905	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.34952
8.48004	-6.97752	-2.84658	2.23125	0.222991	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.208904
8.55444	-7.08674	-2.82146	2.22989	0.199359	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.778403
