px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.8998e-310
0	0	0	0	0	0	0	0	0	0	0	1.03951e-320
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	6.8998e-310
1.62579	0.000987533	0.155695	0.117686	0.27529	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	58.4047
3.24165	0.185436	1.55789	0.113235	0.168721	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	143.179
3.35492	0.202977	1.81722	0.0565327	0.108731	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	15.468
6.59507	0.384843	3.01063	0.102401	0.0474443	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	51.4823
6.55244	0.403427	2.85356	0.13579	0.0879733	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.55462
9.09622	0.599614	2.76	0.0706724	-0.0283393	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.347904
9.0634	0.631539	2.69502	0.0921996	-0.0120543	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.70044
11.5678	1.65532	2.73771	0.580775	0.382779	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.938754
11.5528	1.63597	2.73905	0.563374	0.359867	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.567813
13.6475	2.37737	2.27601	0.430772	0.0181524	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	6.25268
13.6633	2.36137	2.36137	0.395775	-0.043495	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.84995
16.5271	2.87155	2.91082	-0.0628766	-0.373038	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	9.97299
16.4978	2.8644	2.87993	-0.0649414	-0.381602	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.620877
19.0729	3.67175	2.52006	0.367168	0.20908	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	5.68913
19.1116	3.67715	2.54699	0.37481	0.21385	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.08674
21.3217	4.72868	2.59275	0.530598	0.164121	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0746728
21.374	4.73462	2.69229	0.484499	0.0796269	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.70796
24.0413	5.55971	2.84405	0.170867	-0.239385	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	1.48711
24.1174	5.59128	2.94796	0.16778	-0.235849	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.91108
26.6333	6.94892	2.81295	0.614512	0.288427	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	2.23769
26.6332	6.93383	2.90199	0.558322	0.172124	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	1.04632
29.5401	8.06904	3.116	0.229898	-0.253305	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.58003
29.5347	8.06766	3.09216	0.229058	-0.257061	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0981278
31.9907	9.8687	2.87168	0.780795	0.365609	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	4.0933
31.9631	9.84713	2.91527	0.72683	0.257176	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	1.42176
34.632	10.7475	2.62966	0.169641	-0.384952	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.6676
34.688	10.7869	2.76557	0.179117	-0.348619	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	3.44355
37.1601	12.0706	2.67064	0.596502	0.252082	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	2.55557
37.2226	12.0666	2.82259	0.545354	0.139409	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	3.08918
40.2378	13.4163	3.30962	0.279854	-0.222856	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	7.72862
40.1983	13.3962	3.20722	0.274736	-0.239634	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.43447
42.8056	14.8257	3.0324	0.537363	0.143223	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	1.93062
42.7904	14.8185	3.06787	0.518076	0.103395	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.525104
45.3333	16.5367	3.20498	0.654917	0.122266	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.577781
45.3691	16.551	3.23096	0.646611	0.109498	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.836956
48.1889	17.3272	2.91384	0.141338	-0.366001	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	3.86915
48.1679	17.3162	2.88533	0.139977	-0.374171	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.348367
50.6662	19.0455	2.63357	0.842887	0.467843	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	6.09058
50.663	19.0122	2.76143	0.741402	0.262232	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	2.49218
53.6962	19.907	2.76918	-0.077367	-0.629579	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	5.20529
53.6764	19.9125	2.8123	-0.0320067	-0.54392	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.651739
56.1358	21.0283	2.21368	0.492031	0.234703	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	14.2581
56.1314	21.0046	2.34505	0.443993	0.147561	55.867	20.985	55.9669	20.9874	2.56561	0.978022	2.77382
58.6041	21.7608	2.63597	0.197023	-0.184199	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	2.92862
58.6177	21.7741	2.70365	0.219699	-0.141063	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.49416
60.8948	22.783	2.59795	0.464191	0.150362	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.863003
60.8808	22.7759	2.62123	0.453505	0.132031	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.417437
63.3728	23.4122	2.64306	0.160756	-0.200935	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.652724
63.4228	23.4314	2.65073	0.146397	-0.224288	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.19487
66.2776	23.9861	2.9451	0.232438	0.044848	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	3.17098
66.2045	23.9645	2.74378	0.196652	-0.0198987	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	4.58644
68.3315	24.373	2.40562	0.160315	-0.0387553	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	3.41231
68.3857	24.3922	2.46866	0.175346	-0.0136742	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.71396
70.803	24.8782	2.58696	0.221908	0.0365388	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.444836
70.7739	24.8662	2.48859	0.202802	2.25162e-05	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	1.00671
72.9348	24.7317	2.28455	-0.173082	-0.294053	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	1.83457
72.9638	24.7456	2.32054	-0.153152	-0.257745	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.586146
75.044	25.2271	2.02909	0.326011	0.299634	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	3.89688
75.0352	25.2242	2.02846	0.322043	0.2957	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0909772
77.1376	24.9656	1.90868	-0.299735	-0.398049	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	3.50381
77.1484	24.9742	1.92919	-0.28667	-0.374339	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.148604
79.1073	25.009	1.84594	0.11389	0.222561	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	2.53519
79.1092	25.0107	1.83634	0.113974	0.220522	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0435768
80.8214	24.8849	1.78271	-0.0884692	-0.0929279	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.775263
80.846	24.8867	1.76471	-0.113263	-0.140905	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.11648
82.6005	24.6405	1.86521	-0.182723	-0.0796578	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.323739
82.587	24.6315	1.82001	-0.222255	-0.145303	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.309944
84.1909	24.5358	1.69569	-0.0410707	0.0916445	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.680229
84.1901	24.5352	1.67668	-0.0506184	0.0738633	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0803512
85.6568	23.8278	1.61676	-0.614351	-0.400129	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.59382
85.6927	23.8529	1.6726	-0.536861	-0.277628	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.23895
86.9769	23.4818	1.36781	-0.341343	0.0529922	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	2.90124
87.033	23.4965	1.38841	-0.30163	0.0808976	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.94907
88.7346	22.8141	1.85877	-0.437529	-0.0758935	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	5.76568
